geo_point_2d;geo_shape;nom_dept;nom_com;insee_com;nom_station;code_station;typologie;influence;nom_poll;id_poll_ue;valeur;unite;metrique;date_debut;date_fin;statut_valid;code_epci
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.0;µg/m3;horaire;2022-05-19T12:00:00+02:00;2022-05-19T12:59:59+02:00;0;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.4;µg/m3;horaire;2022-05-17T18:00:00+02:00;2022-05-17T18:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.4;µg/m3;horaire;2022-05-16T00:00:00+02:00;2022-05-16T00:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.4;µg/m3;horaire;2022-05-17T22:00:00+02:00;2022-05-17T22:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.4;µg/m3;horaire;2022-05-18T19:00:00+02:00;2022-05-18T19:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.5;µg/m3;horaire;2022-05-15T23:00:00+02:00;2022-05-15T23:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.5;µg/m3;horaire;2022-05-18T01:00:00+02:00;2022-05-18T01:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.5;µg/m3;horaire;2022-05-18T20:00:00+02:00;2022-05-18T20:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.5;µg/m3;horaire;2022-05-17T12:00:00+02:00;2022-05-17T12:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";LOIRET;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.5;µg/m3;horaire;2022-05-17T13:00:00+02:00;2022-05-17T13:59:59+02:00;1;244500468
